GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PriceTracker-app,com.kanbur.Price,PlanMealMenu.new MouseAdapter() {...},0,20,0,0,0,6,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,ListMealMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,LoginMenu,31,419,1,1,11,87,3,8,2,8
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,RemoveRecipeMenu,0,435,0,0,0,68,0,5,0,5
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,MainMenu.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,DBFacadeCreateMeal,52,470,9,25,12,108,9,17,0,9
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
PriceTracker-app,com.kanbur.Price,AddIngredientMenu.new ActionListener() {...},0,11,0,0,0,3,0,2,0,2
